gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2236083516	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3c298ddfa-268c-414b-84fd-109d3dfc3f3c	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Dasysiphonia japonica (Yendo) H.-S.Kim	Dasysiphonia japonica	(Yendo) H.-S. Kim	US	Pleasure Beach, Waterford	Connecticut		1	bc092ff0-02e4-11dc-991f-b8a03c50a862	41.308	-72.1484							2011-03-28T00:00:00Z	28	3	2011	7682935	7682935	PRESERVED_SPECIMEN	US	Botany	223364	11-2-8	Schneider, C. W.		CC0_1_0		C. W. Schneider			2019-09-20T19:24:53.859Z		GEODETIC_DATUM_ASSUMED_WGS84
2236047255	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3ae6e8fb9-06b5-438c-871e-f9550dcc1994	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Dasysiphonia japonica (Yendo) H.-S.Kim	Dasysiphonia japonica	(Yendo) H.-S. Kim	US	Quonochontaug Central Beach, Charleston	Rhode Island		1	bc092ff0-02e4-11dc-991f-b8a03c50a862	41.3368	-71.7023							2009-08-12T00:00:00Z	12	8	2009	7682935	7682935	PRESERVED_SPECIMEN	US	Botany	223376	09-38-4	Schneider, C. W.		CC0_1_0		C. W. Schneider			2019-09-20T19:24:53.527Z		GEODETIC_DATUM_ASSUMED_WGS84
1987717308	90302970-1bc6-4865-be76-9aef1dd707f9	087EB20F-A9F1-0F4A-8177-0F376B4E5524	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Central Coast, Experiment Bight, Cape Scott	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	50.79	-128.42	716.0						1970-04-11T00:00:00Z	11	4	1970	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A42932	27823	J.L. Celestino		CC0_1_0	University of British Columbia	A. R. O. Chapman, D. R. Pace			2019-09-20T20:03:47.452Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987716957	90302970-1bc6-4865-be76-9aef1dd707f9	02A81767-C923-D844-9BE0-167F1E005EC8	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Beach below cable station, Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.84	-125.14	745.0						1969-06-02T00:00:00Z	2	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A40827	25221	J.L. Celestino		CC0_1_0	University of British Columbia	K. Baillie, D. R. Pace			2019-09-20T20:03:47.460Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987715983	90302970-1bc6-4865-be76-9aef1dd707f9	058878B4-9F22-9A4D-AFE8-47BF334B4AB3	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Point north of whittleston point, Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.81	-125.18	745.0						1969-06-30T00:00:00Z	30	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A41315	26289	J.L. Celestino		CC0_1_0	University of British Columbia	M. Roberge			2019-09-20T20:03:47.576Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987715783	90302970-1bc6-4865-be76-9aef1dd707f9	0DAE48B5-62A9-F447-B926-8C14CDFEE530	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Hole in the wall	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	50.32	-125.17	716.0						1977-05-26T00:00:00Z	26	5	1977	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A58564	s.n.	J.C.Oliveira		CC0_1_0	University of British Columbia	R. E. Foreman, Crew			2019-09-20T20:03:47.587Z		
1987714342	90302970-1bc6-4865-be76-9aef1dd707f9	16B5BD33-0625-954D-B085-3BA31D214E66	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Chatchannel point, union island, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	50.0	-127.23	716.0						1968-08-18T00:00:00Z	18	8	1968	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A36900	21654	J.L. Celestino		CC0_1_0	University of British Columbia	J.W. Markham, P. Chamut, K. Baillie, D. R. Pace, B. Baillie, P. G. Harrison			2019-09-20T20:03:40.242Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987713171	90302970-1bc6-4865-be76-9aef1dd707f9	1952CE27-4897-B04B-B1B8-C587C14BD2B0	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	JP	Shizuoka prefecture, shimoda-shi, tohji	Honshu			b542788f-0dc2-4a2b-b652-fceced449591	34.6	138.8	9229.0						1986-03-13T00:00:00Z	13	3	1986	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A68924	45	Jiro Tanaka		CC0_1_0	University of British Columbia	Jiro Tanaka			2019-09-20T20:03:39.522Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987712179	90302970-1bc6-4865-be76-9aef1dd707f9	124B88BF-0677-CC4B-A6B2-8BF9FDA6F9D4	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Central Coast, North end of Campania Island, east side of Sharp Bay	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	53.18	-129.54	670.0						1976-03-25T00:00:00Z	25	3	1976	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A54507	31634	M.W. Hawkes, C. E. Tanner		CC0_1_0	University of British Columbia	M.W. Hawkes, C. E. Tanner			2019-09-20T20:03:47.594Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987709394	90302970-1bc6-4865-be76-9aef1dd707f9	1CF11272-E047-A048-B139-5499D60E71BE	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Skeena-Queen Charolette, Andrews Point, east side of Langara Island, Haida Gwaii (Queen Charlotte Islands)	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	54.24	-132.96	654.0						1976-03-29T00:00:00Z	29	3	1976	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A56161	s.n.	C. E. Tanner		CC0_1_0	University of British Columbia	Judy Root			2019-09-20T20:03:47.367Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987709110	90302970-1bc6-4865-be76-9aef1dd707f9	2670681E-1FC7-8040-8DE7-92EE9DEEE3FD	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Central Coast, East side of York Point, Gil Island, Whale channel	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	53.09	-129.17	670.0						1976-03-26T00:00:00Z	26	3	1976	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A54675	s.n.	C. E. Tanner, M.W. Hawkes		CC0_1_0	University of British Columbia	M.W. Hawkes, C. E. Tanner			2019-09-20T20:03:46.636Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987708446	90302970-1bc6-4865-be76-9aef1dd707f9	1E9B7183-6A2B-2445-B516-EBE447D022FC	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Lighthouse at the mouth of quatsino sound, caines island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	50.5	-127.59	716.0						1975-06-26T00:00:00Z	26	6	1975	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A54023	s.n.	J.L. Celestino		CC0_1_0	University of British Columbia	J. Root, B. Smith			2019-09-20T20:03:45.014Z		
1987707505	90302970-1bc6-4865-be76-9aef1dd707f9	21F6DA29-1D68-6D42-86EC-411345F332D2	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Execution rock, second beach, Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.8	-125.2	7449.0						1974-05-08T00:00:00Z	8	5	1974	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A50873	s.n.	J.L. Celestino		CC0_1_0	University of British Columbia	R. E. Foreman			2019-09-20T20:03:44.916Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987706351	90302970-1bc6-4865-be76-9aef1dd707f9	25D8C647-FA89-FD49-8E21-531F02800019	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Vancouver Island, Bamfield, west side of Edward King Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.84	-125.21	745.0						1969-06-20T00:00:00Z	20	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A40966	25928	J.L. Celestino		CC0_1_0	University of British Columbia	D. R. Pace, A. R. O. Chapman			2019-09-20T20:03:44.909Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987705580	90302970-1bc6-4865-be76-9aef1dd707f9	29C3A804-3E3A-B54C-9EC0-56D76B98C692	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	South side of island west of fox island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	49.73	-124.21	730.0						1978-03-09T00:00:00Z	9	3	1978	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A58780	s.n.	J.C.Oliveira		CC0_1_0	University of British Columbia	V. Seraphim, B. Smith			2019-09-20T20:03:44.903Z		
1987705104	90302970-1bc6-4865-be76-9aef1dd707f9	2B13E7EB-3604-DD49-95CC-601ADA47A745	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Vancouver Island, Bamfield, west side of Edward King Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.84	-125.21	745.0						1969-06-20T00:00:00Z	20	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A40965	25933	J.L. Celestino		CC0_1_0	University of British Columbia	D. R. Pace, A. R. O. Chapman			2019-09-20T20:03:44.887Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987704645	90302970-1bc6-4865-be76-9aef1dd707f9	2C105892-FE2E-E54A-B267-04FF4718058C	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Second cove west of Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.83	-125.15	745.0						1969-06-05T00:00:00Z	5	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A40559	25379	J.L. Celestino		CC0_1_0	University of British Columbia	K. Baillie, D. R. Pace			2019-09-20T20:03:42.646Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987704312	90302970-1bc6-4865-be76-9aef1dd707f9	2D5ACBFE-B9B7-454D-B073-059C95E3BCBF	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Central Coast, Barnard Harbour, Whale Channel, Princess Royal Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	53.07	-129.1	670.0						1971-01-16T00:00:00Z	16	1	1971	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A44082	28743	C. E. Tanner		CC0_1_0	University of British Columbia	L.D. Druehl, P. R. Newroth, J. Hart, R. E. Foreman			2019-09-20T20:03:45.627Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987703805	90302970-1bc6-4865-be76-9aef1dd707f9	2F2B714B-11DA-E748-8A57-131581D2D918	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Roquefeuil bay, Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.85	-125.11	745.0						1969-06-22T00:00:00Z	22	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A40964	25995	J.L. Celestino		CC0_1_0	University of British Columbia	K. Baillie, D. R. Pace			2019-09-20T20:03:45.616Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987703797	90302970-1bc6-4865-be76-9aef1dd707f9	304BC91A-D8FF-734B-A6C2-66A768410E23	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	JP	Megi-jima, kagawa-ken, seto inland sea				b542788f-0dc2-4a2b-b652-fceced449591	34.41	134.06	923.0						1990-01-01T00:00:00Z			1990	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A82697	1073	T. Yoshida		CC0_1_0	University of British Columbia	S. Enomoto			2019-09-20T20:03:45.608Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987702024	90302970-1bc6-4865-be76-9aef1dd707f9	358A89D8-9E5B-0C4A-922F-ABD4625DDBE7	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Island south of warr bluff	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	50.63	-126.58	716.0						1978-03-07T00:00:00Z	7	3	1978	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A58865	s.n.	J.C.Oliveira		CC0_1_0	University of British Columbia	B. Smith, V. Seraphim			2019-09-20T20:03:43.024Z		
1987699295	90302970-1bc6-4865-be76-9aef1dd707f9	3E6847FD-4CA7-4241-94D4-EDBFA4D1BAE0	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Skeena-Queen Charolette, Hazardous cove, Haida Gwaii (Queen Charlotte Islands)	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	53.2	-133.0	6699.0						1953-07-28T00:00:00Z	28	7	1953	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A56710	s.n.	M.W. Hawkes		CC0_1_0	University of British Columbia	Robert F. Scagel			2019-09-20T20:03:41.957Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987698523	90302970-1bc6-4865-be76-9aef1dd707f9	47854248-4EA6-0C45-88E1-07DECC53C241	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	West of the entrance to welcome harbour, henry island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	54.04	-130.7	6543.0						1983-01-29T00:00:00Z	29	1	1983	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A9061	34669	J.C.Oliveira		CC0_1_0	University of British Columbia	M.W. Hawkes, T. Klinger			2019-09-20T20:03:41.951Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987697372	90302970-1bc6-4865-be76-9aef1dd707f9	48CD9AD8-7009-184E-B42A-A63BCDA2D539	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	US	Between cattle point and goose island	Washington			b542788f-0dc2-4a2b-b652-fceced449591	48.45	-122.96	745.0						1949-07-21T00:00:00Z	21	7	1949	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A60392	s.n.	J.C.Oliveira		CC0_1_0	University of British Columbia	Robert F. Scagel			2019-09-20T20:03:41.944Z		
1987696668	90302970-1bc6-4865-be76-9aef1dd707f9	4B9E3C5D-B85F-D14A-82C0-35F59D643C56	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Central Coast, Lawn Point, NW Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	50.32	-127.98	716.0						1968-09-02T00:00:00Z	2	9	1968	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A38493	23387	C. A. Borden		CC0_1_0	University of British Columbia	J.W. Markham, P. Chamut, K. Baillie, D. R. Pace, B. Baillie, P. G. Harrison			2019-09-20T20:03:41.937Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987696652	90302970-1bc6-4865-be76-9aef1dd707f9	4B1A7D9D-00A4-9444-B933-9C5DFB79292D	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Point north of whittleston point, Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.81	-125.18	745.0						1969-06-30T00:00:00Z	30	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A41314	26291	J.L. Celestino		CC0_1_0	University of British Columbia	M. Roberge			2019-09-20T20:03:41.931Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987693512	90302970-1bc6-4865-be76-9aef1dd707f9	540A596F-A2CB-5140-949C-9F5F9C12F288	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Point north of whittleston point, Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.81	-125.18	745.0						1969-06-30T00:00:00Z	30	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A41316	26286	J.L. Celestino		CC0_1_0	University of British Columbia	M. Roberge			2019-09-20T20:03:41.899Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987691880	90302970-1bc6-4865-be76-9aef1dd707f9	5969B076-7B8D-2B4C-B442-A94BEE3DEA6C	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Central Coast, NE side of Kelp Head, south of Cranstown Point, Fitz Hugh Sound	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	51.37	-127.77	701.0						1976-03-23T00:00:00Z	23	3	1976	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A54986	31493	C. E. Tanner, M.W. Hawkes		CC0_1_0	University of British Columbia	M.W. Hawkes, C. E. Tanner			2019-09-20T20:03:41.764Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987691455	90302970-1bc6-4865-be76-9aef1dd707f9	5CD819CD-11C2-3341-8699-E57124D6AABC	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	West coast of lasqueti island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	49.48	-124.36	730.0						1976-03-22T00:00:00Z	22	3	1976	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A56099	s.n.	J.L. Celestino		CC0_1_0	University of British Columbia	B. Smith			2019-09-20T20:03:41.641Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987691261	90302970-1bc6-4865-be76-9aef1dd707f9	5B8D32B0-E5DD-864F-8405-C26A61ECAB6A	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	West coast of lasqueti island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	49.48	-124.36	730.0						1976-03-22T00:00:00Z	22	3	1976	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A55662	s.n.	J.L. Celestino		CC0_1_0	University of British Columbia	B. Smith			2019-09-20T20:03:41.635Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987689884	90302970-1bc6-4865-be76-9aef1dd707f9	5F94ED9F-2827-184B-90FF-F0CA558B56AB	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Skeena-Queen Charolette, Moresby island, bolkus islands, skincuttle inlet, east coast of Haida Gwaii (Queen Charlotte Islands)	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	52.323333	-131.25	685.0						1976-03-27T00:00:00Z	27	3	1976	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A54730	31719	M.W. Hawkes, C. E. Tanner		CC0_1_0	University of British Columbia	C. E. Tanner, M. W. Hawkes			2019-09-20T20:03:41.382Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1987689526	90302970-1bc6-4865-be76-9aef1dd707f9	64CA3675-EA5C-BD4F-90BC-CF7039217A9C	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Second cove west of Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.83	-125.15	745.0						1969-06-05T00:00:00Z	5	6	1969	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A40557	25388	J.L. Celestino		CC0_1_0	University of British Columbia	K. Baillie, D. R. Pace			2019-09-20T20:03:41.376Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1987688982	90302970-1bc6-4865-be76-9aef1dd707f9	61B4F805-BB59-DF42-86F3-CC3DCD40E311	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	JP	Kakura-ne, matsushima bay, miyagi prefecture				b542788f-0dc2-4a2b-b652-fceced449591									1966-07-13T00:00:00Z	13	7	1966	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A64143	s.n.	T. Yoshida		CC0_1_0	University of British Columbia	T. Yoshida			2019-09-20T20:03:41.359Z		
1987688354	90302970-1bc6-4865-be76-9aef1dd707f9	64170F15-B814-144D-9B27-9F11E698C6FC	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Off brady's beach, Bamfield, Vancouver Island	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	49.75	-126.49	730.0						1977-05-25T00:00:00Z	25	5	1977	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A57235	s.n.	J.L. Celestino		CC0_1_0	University of British Columbia	Zoology Class			2019-09-20T20:03:41.353Z		
1987687020	90302970-1bc6-4865-be76-9aef1dd707f9	68A5E085-A485-0745-8A3A-80388E4C3B8D	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasysiphonia	Dasysiphonia japonica		SPECIES	Heterosiphonia japonica Yendo	Heterosiphonia japonica Yendo	Yendo	CA	Off Bamfield inlet, outer barkley sound	British Columbia			b542788f-0dc2-4a2b-b652-fceced449591	48.85	-125.38	745.0						1982-03-27T00:00:00Z	27	3	1982	2659055	7682935	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A66831	32941	J.C.Oliveira		CC0_1_0	University of British Columbia	Robert F. Scagel			2019-09-20T20:03:41.348Z		
