variable,x,y
e08.SST.max,-4.778500771522522,3.7961157772770093E-7
e08.SST.max,-4.693658017730712,3.7961157772770093E-7
e08.SST.max,-4.6088152639389035,3.7961157772770093E-7
e08.SST.max,-4.523972510147094,3.7961157772770093E-7
e08.SST.max,-4.439129756355285,3.7961157772770093E-7
e08.SST.max,-4.354287002563476,3.7961157772770093E-7
e08.SST.max,-4.269444248771667,3.7961157772770093E-7
e08.SST.max,-4.184601494979858,3.7961157772770093E-7
e08.SST.max,-4.099758741188049,3.7961157772770093E-7
e08.SST.max,-4.01491598739624,3.7961157772770093E-7
e08.SST.max,-3.930073233604431,3.7961157772770093E-7
e08.SST.max,-3.8452304798126216,3.7961157772770093E-7
e08.SST.max,-3.7603877260208125,3.7961157772770093E-7
e08.SST.max,-3.6755449722290034,3.7961157772770093E-7
e08.SST.max,-3.5907022184371944,3.7961157772770093E-7
e08.SST.max,-3.5058594646453853,3.7961157772770093E-7
e08.SST.max,-3.4210167108535763,3.7961157772770093E-7
e08.SST.max,-3.3361739570617672,3.7961157772770093E-7
e08.SST.max,-3.251331203269958,3.7961157772770093E-7
e08.SST.max,-3.166488449478149,3.7961157772770093E-7
e08.SST.max,-3.08164569568634,3.7961157772770093E-7
e08.SST.max,-2.996802941894531,3.7961157772770093E-7
e08.SST.max,-2.9119601881027215,3.7961157772770093E-7
e08.SST.max,-2.827117434310913,3.7961157772770093E-7
e08.SST.max,-2.7422746805191034,3.7961157772770093E-7
e08.SST.max,-2.657431926727295,3.7961157772770093E-7
e08.SST.max,-2.5725891729354853,3.7961157772770093E-7
e08.SST.max,-2.4877464191436762,3.7961157772770093E-7
e08.SST.max,-2.402903665351867,3.7961157772770093E-7
e08.SST.max,-2.3180609115600577,3.7961157772770093E-7
e08.SST.max,-2.233218157768249,3.7961157772770093E-7
e08.SST.max,-2.14837540397644,3.7961157772770093E-7
e08.SST.max,-2.063532650184631,3.7961157772770093E-7
e08.SST.max,-1.9786898963928214,3.7961157772770093E-7
e08.SST.max,-1.8938471426010124,3.7961157772770093E-7
e08.SST.max,-1.8090043888092038,3.7961157772770093E-7
e08.SST.max,-1.7241616350173947,3.7961157772770093E-7
e08.SST.max,-1.6393188812255852,3.7961157772770093E-7
e08.SST.max,-1.5544761274337762,3.7961157772770093E-7
e08.SST.max,-1.4696333736419671,3.7961157772770093E-7
e08.SST.max,-1.3847906198501585,3.7961157772770093E-7
e08.SST.max,-1.299947866058349,3.7961157772770093E-7
e08.SST.max,-1.21510511226654,3.955548777412332E-7
e08.SST.max,-1.1302623584747309,4.473688477446558E-7
e08.SST.max,-1.0454196046829218,5.057204930380976E-7
e08.SST.max,-0.9605768508911123,5.714011876989389E-7
